index,address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
1470,"Centrum Kultury w Pawłowicach, ul. Zjednoczenia 67, 43-250 Pawłowice",451,940,737,1552
1479,"Centrum Kultury w Zarzeczu, ul. Długa 2, 37-205 Zarzecze",95,357,165,690
1481,"Centrum Kultury w Łomiankach, wejście od ul. Szczęśliwej, ul. Wiejska 12a, 05-092 Łomianki",379,623,1338,1190
1492,"Centrum Kultury, Skarbimierz-Osiedle ul. Akacjowa 27A, 49-318 Skarbimierz",367,292,612,696
1495,"Centrum Kultury, Sportu i Turystyki w Pruchniku, ul. Księdza Bronisława Markiewicza 20, 37-560 Pruchnik",139,594,244,35
1497,"Centrum Kultury, Sportu i Turystyki, ul. Wojska Polskiego 2, 77-310 Debrzno",393,231,600,536
1503,"Centrum Kultury, ul. Kościuszki 49, 05-500 Piaseczno",576,323,0,606
1507,"Centrum Kultury, ul. Widok 2, 05-480 Karczew",467,622,670,920
1509,"Centrum Kultury, wejścia A, ul. Spółdzielcza 9, 05-825 Grodzisk Mazowiecki",465,277,883,584
1510,"Centrum Kultury-Biblioteki i Sportu, ul. Szkolna 48, 07-402 Lelis",131,351,216,670
1522,"Centrum Mistrzostwa Sportowego, ul. Mazurska 40, 70-424 Szczecin",1005,495,1693,946
1536,"Centrum Organizacji Pozarządowych w Luboniu, ul. gen. Władysława Sikorskiego 3, 62-030 Luboń",692,217,38,399
1544,"Centrum Pomocy Rodzinie i Usług Socjalnych, ul. Warszawska 10, 95-070 Aleksandrów Łódzki",596,535,916,838
1589,"Centrum Sportu i Rekreacji, Pływalnia Miejska RAFA, ul. Olimpijczyków 31, 84-300 Lębork",395,252,532,541
1595,"Centrum Społeczno-Kulturalne w Pietrowicach Wielkich, ul. 1 Maja 8b, 47-480 Pietrowice Wielkie",296,328,507,692
1597,"Centrum Społeczno-Kulturalne w Tuchowiczu, Tuchowicz 47A, 21-421 Tuchowicz",47,334,100,621
1601,"Centrum Społeczno-Kulturalne, ul. Piotrkowska 13, 97-310 Moszczenica",242,537,433,940
1616,"Centrum Usług Społecznościowych w Łękawicy (tzw. skrzydło C budynku Urzędu Gminy), ul. Wspólna 26, 34-321 Łękawica",214,522,361,925
1630,"Centrum Usług Społecznych, al. Aleja 600-lecia 90, 96-500 Sochaczew",564,514,859,884
1632,"Centrum Usług Społecznych, ul. 6 Marca 35, 76-032 Mielno",587,266,270,686
1639,"Centrum Usług Społecznych, ul. Wojciecha Korfantego 87, 44-310 Radlin",220,294,375,609
1648,"Centrum Zajęć Pozaszkolnych nr 1, ul. Zawiszy Czarnego 39, 91-818 Łódź",555,333,943,579
1671,"DODR we Wrocławiu Obiekt Hotelowy AGRO, ul. Zwycięska 4, 53-033 Wrocław",669,159,230,396
1684,"Dawna siedziba Medycznego Studium Zawodowego, ul. Okopowa 3, 21-500 Biała Podlaska",442,389,773,928
1687,"Dawny budynek Zespołu Szkół Ogólnokształcących nr 14, ul. Jana Nowaka-Jeziorańskiego 53, 25-432 Kielce",1029,829,1536,1328
1692,"Dolnobrzeski Ośrodek Kultury, ul. Kolejowa 29, 56-120 Brzeg Dolny",433,244,718,538
1695,"Dolnośląski Specjalny Ośrodek Szkolno-Wychowawczy nr 13 dla Uczniów Niewidomych i Słabowidzących oraz z innymi niepełnosprawnościami im. Marii Grzegorzewskiej we Wrocławiu, ul. Kamiennogórska 16, 54-034 Wrocław",484,226,25,504
1710,"Dom Działkowca, ul. Głogowa 6, 25-346 Kielce",659,401,938,691
1718,"Dom EduMontessori, ul. Górna 30, 09-402 Płock",545,471,817,774
1736,"Dom Kultury "" Włochy"", ul. Bolesława Chrobrego 27, 02-479 Warszawa",648,171,56,340
1737,"Dom Kultury ""Białogon"", ul. Pańska 1A, 25-811 Kielce",396,532,670,911
1743,"Dom Kultury ""Idalin"", ul. Bluszczowa 4/8, 26-600 Radom",403,726,715,1230
1750,"Dom Kultury ""Modraczek"", ul. Ogrody 15, 85-870 Bydgoszcz",923,401,1437,669
1767,"Dom Kultury Portiernia, ul. Traktorzystów 20, 02-495 Warszawa",548,167,380,459
1773,"Dom Kultury im. Jacka Lecha, ul. Żywiecka 302, 43-300 Bielsko-Biała",570,400,933,715
1779,"Dom Kultury w Bramkach, Filia Centrum Kultury w Błoniu, Bramki ul. Długa 75, 05-870 Błonie",254,300,439,597
1793,"Dom Kultury w Dłutowie, ul. Polna 3, 95-081 Dłutów",210,328,407,650
1794,"Dom Kultury w Gostyni, ul. Pszczyńska 366, 43-176 Gostyń",262,318,454,619
1797,"Dom Kultury w Hałcnowie, ul. Siostry Małgorzaty Szewczyk 1, 43-300 Bielsko-Biała",542,520,900,945
1806,"Dom Kultury w Korniaktowie Północnym, Korniaktów Północny 33a, 37-114 Białobrzegi",74,433,140,765
1807,"Dom Kultury w Kosinie, Kosina 966, 37-112 Kosina",131,1017,286,1682
1813,"Dom Kultury w Lipniku, ul. Podgórna 29, 43-300 Bielsko-Biała",630,457,74,811
1821,"Dom Kultury w Odrzykoniu, ul. Władysława Jagiełły 1, 38-406 Odrzykoń",197,548,342,969
1825,"Dom Kultury w Ołpinach, Ołpiny 86, 38-247 Ołpiny",87,615,171,25
1826,"Dom Kultury w Pełkiniach, Pełkinie 143, 37-511 Wólka Pełkińska",117,390,195,680
1831,"Dom Kultury w Porąbce, ul. Rynek 22, 43-353 Porąbka",252,383,444,710
1836,"Dom Kultury w Pysznicy, ul. Wolności 322, 37-403 Pysznica",301,489,498,902
1839,"Dom Kultury w Radwanicach, ul. Szkolna 5 A, 59-160 Radwanice",345,539,573,933
1843,"Dom Kultury w Ropczycach, ul. Majora Henryka Sucharskiego 101, 39-100 Ropczyce",162,428,302,788
1845,"Dom Kultury w Rudzie Śląskiej, ul. Edmunda Kokota 170, 41-711 Ruda Śląska",635,553,1113,1042
1846,"Dom Kultury w Siedliszczu, ul. Aleksandra Bałasza 10, 22-130 Siedliszcze",149,328,262,625
1851,"Dom Kultury w Sokolnikach, Sokolniki ul. Sandomierska 84, 39-432 Gorzyce",133,337,234,640
1853,"Dom Kultury w Starym Bielsku, ul. Jana Sobieskiego 307A, 43-300 Bielsko-Biała",498,324,802,632
1859,"Dom Kultury w Szówsku, Szówsko ul. Sportowa 5, 37-522 Wiązownica",136,675,263,115
1863,"Dom Kultury w Wilczy, ul. Karola Miarki 123, 44-189 Wilcza",282,367,451,694
1865,"Dom Kultury w Woli Dalszej, Wola Dalsza 149, 37-100 Łańcut",149,386,262,735
1868,"Dom Kultury w Wysokiej, Wysoka 81, 37-100 Łańcut",171,743,339,276
1871,"Dom Kultury w Zapałowie, Zapałów 134, 37-544 Zapałów",52,334,109,616
1880,"Dom Kultury w Żarkach, ul. Klubowa 6, 32-593 Żarki",172,368,281,657
1883,"Dom Kultury w Żernicy, ul. Szafranka 9, 44-144 Żernica",596,422,894,768
1884,"Dom Kultury w Żołyni, ul. Smolarska 1, 37-110 Żołynia",96,353,187,682
1909,"Dom Kultury, Siedliska 229, 33-172 Siedliska",114,594,209,983
1910,"Dom Kultury, Siedliska 298, 38-324 Siedliska",47,392,111,673
1911,"Dom Kultury, Siołkowa 35, 33-330 Grybów",78,656,135,92
1918,"Dom Kultury, Wólka Niedźwiedzka 264, 36-050 Sokołów Małopolski",49,539,102,874
1923,"Dom Kultury, ul. Czerwonych Kosynierów 19, 76-270 Ustka",754,353,206,620
1929,"Dom Kultury, ul. Krystyny 30, 62-067 Rakoniewice",364,327,603,636
1935,"Dom Kultury, ul. Szkolna 11, 89-650 Czersk",306,458,495,882
1961,"Dom Ludowy w Babicy, Babica ul. Wiejska 47, 34-103 Witanowice",86,307,208,606
1973,"Dom Ludowy w Borku Starym, Borek Stary 84, 36-020 Tyczyn",108,455,211,835
1982,"Dom Ludowy w Budach Głogowskich, Budy Głogowskie 527, 36-060 Głogów Małopolski",97,550,186,946
2004,"Dom Ludowy w Czarnochowicach, Czarnochowice 150, 32-020 Wieliczka",380,270,676,589
2037,"Dom Ludowy w Hermanowej, Hermanowa 225, 36-020 Tyczyn",89,352,170,640
2057,"Dom Ludowy w Kielnarowej, Kielnarowa 57, 36-020 Tyczyn",176,444,331,824
2059,"Dom Ludowy w Klimkówce, Klimkówka ul. Zdrojowa 51, 38-480 Rymanów",117,499,239,803
2094,"Dom Ludowy w Myślenicach, ul. 3-ego Maja 56, 32-400 Myślenice",209,384,394,694
2130,"Dom Ludowy w Przegini, Przeginia 116a, 32-049 Przeginia",110,646,278,85
2131,"Dom Ludowy w Przewrotnem, Przewrotne 607, 36-003 Przewrotne",86,411,162,722
2140,"Dom Ludowy w Radziechowach, ul. św. Marcina 23, 34-381 Radziechowy",250,603,465,951
2141,"Dom Ludowy w Rogach, Rogi ul. Ks. Henryka Domino 54, 38-430 Miejsce Piastowe",227,468,392,896
2209,"Dom Ludowy w Woli Baranowskiej, Wola Baranowska ul. Zachodnia 2, 39-451 Skopanie",74,556,157,856
2212,"Dom Ludowy w Woli Radziszowskiej, ul. św. Jana Pawła II 12, 32-053 Wola Radziszowska",247,499,438,930
