id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1411350,"Centrum Kształcenia Zawodowego i Ustawicznego nr 3 „Ekonomik”, ul. Długa 5, 65-401 Zielona Góra",195,505,1474776,194,442
1411441,"Zespół Szkolno-Przedszkolny w Dobrzelowie, ul. Górna 7, 97-400 Bełchatów",616,264,1474824,103,539
1411486,"Szkoła Podstawowa Nr 2, ul. Tadeusza Kościuszki 40/42, 97-425 Zelów",343,165,1474870,242,149
1411498,"Szkoła Podstawowa Nr 1 im. Tadeusza Kościuszki w Kutnie, ul. Kanclerza Andrzeja Zamoyskiego 1, 99-300 Kutno",357,387,1474887,268,243
1411530,"Szkoła Podstawowa im. gen. Władysława Andersa w Nowem, Nowe 36, 99-340 Krośniewice",225,63,1474923,201,57
1411571,"Budynek OSP w Grzeszynie, Grzeszyn 6A, 98-113 Buczek",105,39,1474968,82,42
1411653,"Szkoła Podstawowa, Leźnica Mała 36, 99-100 Łęczyca",234,95,1475052,212,63
1411770,"Filia Szkoły Podstawowej w Kurowicach z/s w Woli Rakowej, Wola Rakowa ul. Szkolna 3, 95-006 Brójce",312,151,1475175,132,51
1411807,"Szkoła Podstawowa im. Jana Długosza w Rzgowie, ul. Szkolna 3, 95-030 Rzgów",441,388,1475214,381,371
1411811,"Szkoła Podstawowa im. Kornela Makuszyńskiego w Guzewie, Guzew ul. Edukacyjna 6, 95-030 Rzgów",178,133,1475221,96,69
1411904,"Szkoła Podstawowa w Paradyżu, ul. Przedborska 29, 26-333 Paradyż",441,43,1475311,320,113
1411941,"Przedszkole nr 3 BAJKA w Konstantynowie Łódzkim, ul. Lutomierska 4, 95-050 Konstantynów Łódzki",236,291,1475351,139,234
1411949,"Szkoła Podstawowa nr 5 im. Grzegorza Piramowicza, ul. Zamkowa 65, 95-200 Pabianice",308,445,1475356,258,373
1411969,"Dom Kultury w Dłutowie, ul. Polna 3, 95-081 Dłutów",223,124,1475386,211,159
1411986,"Zespół Szkolno-Przedszkolny w Lutomiersku, ul. marszałka J. Piłsudskiego 1, 95-083 Lutomiersk",271,486,1475406,256,378
1412044,"Zespół Szkolno-Przedszkolny w Czarnocinie, ul. Główna 134, 97-318 Czarnocin",254,166,1475465,182,92
1412137,"Liceum Ogólnokształcące im. Marii Konopnickiej w Poddębicach, ul. Łęczycka 13/15, 99-200 Poddębice",174,179,1475566,159,294
1412160,"Miejskie Przedszkole w Uniejowie, ul. Targowa 19, 99-210 Uniejów",364,275,1475587,229,59
1412343,"Szkoła Podstawowa w Błaszkach, ul. Pomorska 6, 98-235 Błaszki",424,148,1475790,297,154
1412420,"Szkoła Podstawowa w Wysokienicach, Wysokienice 32, 96-130 Głuchów",751,50,1475864,183,136
1412478,"Zespół Szkolno-Przedszkolny w Będkowie, ul. Władysława Stanisława Reymonta 11, 97-319 Będków",372,84,1475927,355,170
1412579,"Zespół Szkół Samorządowych im. Króla Wł. Jagiełły w Dzietrznikach, Dzietrzniki 105, 98-335 Pątnów",271,61,1476032,128,66
1412753,"Szkoła Podstawowa Nr 5, ul. 1 Maja 63, 95-100 Zgierz",255,514,1476216,207,345
1412766,"Zespół Szkół Nr 1 im. Jakuba Stefana Cezaka, ul. Długa 89/91, 95-100 Zgierz",272,394,1476209,240,370
