address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"Grupa Zdrowie Sp. z o.o. Hospicjum Stacjonarne w Głownie, ul. Wojska Polskiego 32/34, 95-015 Głowno",1,2,0,1
"Hala Gminastyczna przy SP Rusiec, Rusiec ul. Osiedlowa 72, 05-830 Nadarzyn",609,206,10,504
"Hala Sportowa Akademii Wychowania Fizycznego, ul. Słowiańska 73, 66-400 Gorzów Wielkopolski",684,254,205,626
"Hala Sportowa OSIR, ul. Obrońców Tobruku 40, 01-494 Warszawa",1262,251,1009,504
"Hala Sportowa Reduta, ul. Redutowa 37, 01-106 Warszawa",1286,456,477,1022
"Hala Sportowa, ul. Szarych Szeregów 10, 64-320 Buk",690,400,85,734
"Hala Sportowa, ul. Wapienicka 120A, 43-384 Jaworze",764,283,178,625
"Hala Widowiskowo-Sportowa, ul. Mickiewicza 49, 84-230 Rumia",683,260,230,600
"I Liceum Ogólnokształcące im. Stefana Żeromskiego, ul. Księdza Piotra Ściegiennego 15, 25-033 Kielce",703,308,52,598
"I Liceum Ogólnokształcące, Gdańsk ul. Wały Piastowskie 6, 80-855 Gdańsk 50",684,234,366,493
"I Liceum Ogólnokształcące, ul. Alojzego Felińskiego 15, 01-513 Warszawa",884,330,440,500
"II Liceum Ogólnokształcące im. Adama Asnyka, ul. Jutrzenki 13, 43-300 Bielsko-Biała",962,623,647,1108
"II Liceum Ogólnokształcące im. Generałowej Zamoyskiej i Heleny Modrzejewskiej, ul. Jana Matejki 8/10, 60-766 Poznań",1069,250,1042,624
"II Liceum Ogólnokształcące z Oddziałami Integracyjnymi im. Cypriana Kamila Norwida w Tychach, ul. Cypriana Norwida 40, 43-100 Tychy",722,292,48,556
"II Liceum Ogólnokształcące, ul. Myśliwiecka 6, 00-459 Warszawa",645,241,58,415
"III Liceum Ogólnokształcące im. Tadeusza Kościuszki w Łodzi, ul. Henryka Sienkiewicza 46, 90-009 Łódź",753,278,303,553
"III Liceum Ogólnokształcące, ul. Rogalińska 2, 01-206 Warszawa",102,313,45,659
"IV Liceum Ogólnokształcące im. Adama Mickiewicza, ul. Saska 59, 03-914 Warszawa",1070,430,841,723
"IV Liceum Ogólnokształcące z Oddziałami Mistrzostwa Sportowego, Gdańsk ul. Na Zaspę 31A, 80-546 Gdańsk 4",644,340,10,638
"IX Liceum Ogólnokształcące, ul. Orłowska 57, 81-542 Gdynia",1131,345,748,610
"Kamiliańskie Centrum Opiekuńczo – Lecznicze w Hutkach, Hutki ul. Jurajska 36, 32-329 Bolesław",14,29,12,39
"Klub ""Jutrzenka"", Kicin ul. Nowe Osiedle 2, 62-004 Czerwonak",795,299,257,563
"Klub WSBM ""Chomiczówka"", ul. Pabla Nerudy 1, 01-926 Warszawa",921,438,624,786
"Klub Wojskowej Akademii Technicznej, ul. gen. Sylwestra Kaliskiego 25, 01-476 Warszawa",785,257,223,714
"Klub w Wołczkowie, Wołczkowo ul. Lipowa 11A, 72-003 Dobra",719,231,118,432
"Kompleks Rekreacyjno-Sportowy, ul. Moniuszki 8, 72-346 Pobierowo",605,338,482,764
"Kompleks sportowo-rekreacyjny, ul. Leśna 1, 72-350 Niechorze",696,368,531,845
"LXIV Liceum Ogólnokształcące, ul. Elbląska 51, 01-737 Warszawa",1817,633,1099,1184
"LXVII Liceum Ogólnokształcące, ul. Hoża 11/15, 00-528 Warszawa",725,360,245,587
"LXXII Liceum Ogólnokształcące im. Jakuba Jasińskiego, ul. Grochowska 346/348, 03-838 Warszawa",874,441,758,790
"LXXXVI Liceum Ogólnokształcące, ul. Kajetana Garbińskiego 1, 01-122 Warszawa",1115,567,902,998
"Liceum Ogólnokształcące Mistrzostwa Sportowego im. Poznańskich Olimpijczyków, os. Tysiąclecia 43, 61-255 Poznań",1196,511,892,828
"Liceum Ogólnokształcące Nr 56, ul. Dzieci Warszawy 42, 02-495 Warszawa",678,244,81,528
"Liceum Ogólnokształcące Nr LXIII, ul. Ludwika Hirszfelda 11, 02-776 Warszawa",812,158,325,352
"Liceum Ogólnokształcące ZNP, ul. Scaleniowa 6, 93-436 Łódź",676,346,9,589
"Liceum Ogólnokształcące im. Tadeusza Kościuszki, ul. Tadeusza Kościuszki 38, 05-800 Pruszków",605,305,30,524
"Liceum Ogólnokształcące nr LXIII, ul. Ludwika Hirszfelda 11, 02-776 Warszawa",725,286,170,481
"Liceum Ogólnokształcące nr LXX, ul. Edwarda Dembowskiego 1, 02-784 Warszawa",1298,478,1091,815
"Liceum Ogólnokształcące nr V, ul. Jacka Kuronia 14, 50-550 Wrocław",828,282,412,544
"Liceum Ogólnokształcące nr VI, ul. Hutnicza 45, 54-139 Wrocław",890,544,632,1078
"Liceum Ogólnokształcące nr XIV, al. Aleksandra Brücknera 10, 51-410 Wrocław",771,395,439,758
"Lokal Rady Osiedla Chojny, ul. Rzgowska 151, 93-303 Łódź",627,355,52,616
"Lokal Rady Osiedla Dolina Łódki, ul. Beskidzka 172, 91-610 Łódź",654,304,136,569
"Lokal użytkowy, pl. Plac Konstytucji 6, 00-550 Warszawa",842,334,408,560
"MDK ""Dom Harcerza"", ul. Władysława Reymonta 18, 30-059 Kraków",367,133,134,440
"MDK, ul. Hansa Christiana Andersena 4, 01-911 Warszawa",718,344,131,559
"Małopolski Szpital Rehabilitacyjny w Krzeszowicach, ul. I. Daszyńskiego 1, 32-065 Krzeszowice",50,65,44,89
"Miejsce Aktywności Lokalnej Dom Sąsiedzki, ul. gen. Tadeusza Pełczyńskiego 30B, 01-471 Warszawa",761,177,357,434
"Miejsce Aktywności Lokalnej, ul. Kłobucka 14, 02-829 Warszawa",828,296,685,681
"Miejska Biblioteka Publiczna Filia nr 14 Centrum Aktywności Lokalnej Dobre Czasy na Jagodnie, ul. Sygnałowa 23, 52-130 Wrocław",483,113,20,329
"Miejski Dom Kultury ""Południe"" Filia nr 3 w Zarzeczu, ul. Pawła Stellera 4, 40-748 Katowice",894,302,404,548
"Miejski Dom Kultury Galeria ""ART"", ul. Wojska Polskiego 1/1, 72-600 Świnoujście",698,270,74,556
"Miejski Dom Spokojnej Starości w Ustroniu, ul. Słoneczna 10, 43-450 Ustroń",9,7,8,13
"Miejski Klub Seniora ""Wielki Kack"", ul. Lipowa 15, 81-572 Gdynia",965,197,510,416
"Miejski Ośrodek Pomocy Rodzinie, Centrum Pracy Socjalnej 9, Gdańsk ul. Piekarnicza 16, 80-126 Gdańsk 16",720,127,215,336
"Miejski Ośrodek Sportu i Rekreacji Hala Akrobatyczna, ul. Urszuli 22, 65-147 Zielona Góra",1225,372,979,869
"Miejski Szpital Zespolony w Olsztynie, Centrum Opieki Paliatywnej im. Jana Pawła II, ul. Aleja Wojska Polskiego 30, 10-229 Olsztyn",13,3,10,4
"Miejskie Przedsiębiorstwo Oczyszczania, ul. Instalatorów 23, 02-237 Warszawa",711,240,656,627
"Miejskie Przedszkole Nr 18, ul. Leopolda Staffa 6, 59-220 Legnica",679,384,73,661
"Morska Szkoła Podstawowa Gdańsk-Południe, Gdańsk ul. Srebrna 11, 80-180 Gdańsk 42",2440,751,1846,2110
"Morskie Przedszkole, Gdańsk ul. Rogalińska 17, 80-809 Gdańsk 20",957,214,681,500
"Młodzieżowy Dom Kultury, ul. Na Wrzosach 57, 30-816 Kraków",537,302,42,581
"Młodzieżowy Ośodek Socjoterapii ""Dom Na Trakcie"", inne Trakt Lubelski 40, 04-870 Warszawa",1854,696,921,1367
"Narodowy Instytut Onkologii im. M. Skłodowskiej-Curie-Państwowy Instytut Badawczy Oddział w Krakowie, ul. Garncarska 11, 31-115 Kraków",23,28,20,31
"Niepubliczna Szkoła Podstawowa Nr 7, ul. Jana Kilińskiego 38, 76-200 Słupsk",639,278,9,610
"Niepubliczne Przedszkole Kreatywne ""Wesoła Przygoda"", ul. Poprzeczna 2a, 64-920 Piła",884,190,409,513
"Niepubliczny Zakład Opieki Zdrowotnej Centrum Medyczne ''Epimigren"", ul. Botaniczna 38, 86-031 Osielsko",5,5,2,7
"Niepubliczny Zakład Opieki Zdrowotnej Dom Sue Ryder prowadzony przez Pallmed sp. z o. o. Hospicjum Stacjonarne, ul. Wilhelma Roentgena 3, 85-796 Bydgoszcz",1,2,0,2
"Niepubliczny Zespół Zakładów Opieki Zdrowotnej ""Palium"" w Sońsku, ul. Zacisze 1, 06-430 Sońsk",6,14,5,32
"Obiekt Sportowo-Rekreacyjny ""Syrenka"", ul. Starego Doktora 1, 04-551 Warszawa",580,293,19,551
"Oddział Fizjoterapii i Rehabilitacji w Stanisławowie Szpitala Zespołu Opieki Zdrowotnej w Łowiczu, Rulice 31, 99-423 Bielawy",11,22,8,32
"Oddział Szkoły Podstawowej nr 221, ul. Żelazna 71, 00-871 Warszawa",664,192,76,391
"Ogólnokształcąca Szkoła Baletowa, Gdańsk al. Aleja Legionów 3, 80-441 Gdańsk 6",535,225,30,430
"Operator ARP Sp. z o. o., ul. 28 Czerwca 1956 r. 223 - 229, 61-485 Poznań",579,185,25,402
"Osiedlowy Dom Kultury PSM ""KOLEJARZ"", Gdańsk ul. Kołobrzeska 25E, 80-390 Gdańsk 53",709,231,447,493
"Ośrodek Pomocy Społecznej Dzielnicy Bemowo, ul. gen. Tadeusza Pełczyńskiego 26, 01-471 Warszawa",1586,533,864,1244
"Ośrodek Postaw Twórczych Zamek, ul. Działkowa 15, 50-538 Wrocław",730,238,205,487
"Ośrodek Wsparcia i Integracji ""Maja"", ul. Belgradzka 33, 02-793 Warszawa",715,300,158,456
"PGNiG Obrót Detaliczny sp. z o. o. Region Dolnośląski-budynek G, ul. Gazowa 3, 50-513 Wrocław",814,279,771,679
"Palium Sp. z o.o. w Nowym Mieście Zakład Opiekuńczo-Leczniczy w Starej Wronie, Stara Wrona 19, 09-131 Joniec",7,10,6,18
"Pałac Kultury i Nauki, wejście od pływalni Pałacu Młodzieży, pl. Plac Defilad 1, 00-110 Warszawa",986,477,871,839
"Państwowa Akademia Nauk Stosowanych, ul. Piotra Skargi 5, 67-200 Głogów",614,296,20,681
"Państwowe Liceum Sztuk Plastycznych im. Piotra Potworowskiego w Poznaniu, ul. Junikowska 35, 60-163 Poznań",1225,415,1027,833
Petro Giant,21,4,16,12
"Piątkowska Szkoła Społeczna Szkoła Podstawowa im. dr Wandy Błeńskiej, ul. Franciszka Stróżyńskiego 16, 60-688 Poznań",900,258,587,514
"Politechnika Poznańska, ul. Jana Pawła II 28, 61-131 Poznań",256,235,126,837
"Politechnika Warszawska, Wydział Elektroniki i Technik Informacyjnych, ul. Nowowiejska 15/19, 00-665 Warszawa",833,398,424,661
"Poradnia Psychologiczno-Pedagogiczna Nr 21, ul. Marywilska 44, 03-042 Warszawa",577,272,245,739
"Poradnia Psychologiczno-Pedagogiczna nr 16, ul. Siennicka 40, 04-393 Warszawa",603,296,422,684
"Poradnia Psychologiczno-Pedagogiczna nr 4, ul. Mińska 1/5, 03-806 Warszawa",558,246,50,447
"Powiatowe Centrum Edukacyjno-Rewalidacyjne, ul. Jarosława Iwaszkiewicza 9A, 55-200 Oława",765,290,254,688
"Powiatowe Centrum Zdrowia Sp. z o. o. Szpital Powiatowy, ul. Kościelna 21, 59-600 Lwówek Śląski",7,2,5,2
"Powiatowe Centrum Zdrowia Sp. z o. o. w Lwówku Śląskim-Szpital im. Hugona Kołłątaja w Gryfowie Śląskim, ul. Rzeczna 25, 59-620 Gryfów Śląski",9,5,8,10
"Powiatowy Młodzieżowy Dom Kultury im. H. Jordana, ul. Gliwicka 36, 42-600 Tarnowskie Góry",703,348,175,688
"Powiatowy Urząd Pracy, ul. Rzeźnicza 12, 41-200 Sosnowiec",820,363,290,678
"Powiatowy Zespół Zakładów Opieki Zdrowotnej w Będzinie-Oddział w Czeladzi, ul. Szpitalna 40, 41-250 Czeladź",32,16,30,21
"Poznańskie Ośrodki Sportu i Rekreacji, ul. Jana Spychalskiego 34, 61-553 Poznań",654,207,337,450
"Prom Kultury Saska Kępa, ul. Brukselska 23, 03-973 Warszawa",1434,491,1202,785
"Prywatna Szkoła Podstawowa Nr 92, ul. Patriotów 347, 04-760 Warszawa",718,397,55,648
"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Harfowa 2, 02-384 Warszawa",734,175,284,358
"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Harfowa 2, 02-397 Warszawa",796,143,495,354
"Prywatna Szkoła Podstawowa im. Jana Brzechwy, ul. Przy Parku 36, 02-384 Warszawa",957,161,570,408
"Prywatna Szkoła Podstawowa nr 92, ul. Patriotów 347, 04-760 Warszawa",658,365,7,688
"Przedsiębiorstwo KSTU Krakowskie Centrum Terapii Uzależnień, ul. Wielicka 73, 30-552 Kraków",628,347,226,699
"Przedszkole ""Wesołe Skrzaty"" w Pobiedziskach, ul. Różana 4, 62-010 Pobiedziska",744,292,216,609
"Przedszkole Miejskie Nr 11, ul. Zegrzyńska 9, 05-119 Legionowo",737,285,149,570
"Przedszkole Miejskie Nr 13, ul. Antka 7, 05-800 Pruszków",699,420,113,736
"Przedszkole Miejskie Nr 3 im. Koszałka Opałka, ul. Zegrzyńska 71, 05-119 Legionowo",744,368,195,735
"Przedszkole Miejskie Nr 5, hol (I piętro), ul. gen. Stanisława Maczka 11, 10-693 Olsztyn",652,208,145,518
"Przedszkole Miejskie Nr 5, sala kraina uśmiechu (parter), ul. gen. Stanisława Maczka 11, 10-693 Olsztyn",594,194,20,473
"Przedszkole Miejskie Nr 8, ul. Chabrowa 49, 87-100 Toruń",721,398,52,592
"Przedszkole Miejskie nr 170, ul. Ks. Jerzego Popiełuszki 13A, 94-052 Łódź",925,225,674,584
"Przedszkole Miejskie nr 18, ul. Konrada Grasera 3, 87-100 Toruń",694,202,395,656
"Przedszkole Miejskie nr 4, ul. Andrzeja Kmicica 5, 92-433 Łódź",2368,949,1663,1662
"Przedszkole Niepubliczne ""JANOWIACZEK"", ul. Pomorska 27, 84-230 Rumia",715,256,72,494
"Przedszkole Nr 2, ul. Staroprzygodzka 52, 63-400 Ostrów Wielkopolski",666,307,17,620
"Przedszkole Nr 214, ul. gen. Waleriana Czumy 6, 01-355 Warszawa",815,343,248,616
"Przedszkole Nr 24, ul. Jana Brzechwy 5, 82-300 Elbląg",1285,641,864,1070
