address,Trzaskowski_first,Nawrocki_first,Trzaskowski_second,Nawrocki_second
"Szkoła Podstawowa im. Kawalerów Orderu Uśmiechu w Dąbrówce, Dąbrówka ul. Malinowa 41, 62-070 Dopiewo",1399,182,274,508
"Szkoła Podstawowa im. Księdza Kardynała Stefana Wyszyńskiego Prymasa Tysiąclecia w Rąbieniu, Rąbień ul. Słowiańska 5, 95-070 Aleksandrów Łódzki",1637,536,646,1024
"Szkoła Podstawowa im. Marii Konopnickiej (duża sala gimnastyczna), ul. Wojska Polskiego 8, 78-111 Ustronie Morskie",736,461,422,927
"Szkoła Podstawowa im. Polskich Noblistów, Baranowo ul. Wypoczynkowa 93, 62-081 Przeźmierowo",983,228,451,463
"Szkoła Podstawowa im. Ratowników Morskich, ul. Darłowska 6, 76-156 Dąbki",706,468,270,966
"Szkoła Podstawowa im. Straży Granicznej w Sarbinowie, ul. Nadmorska 27A, 76-034 Sarbinowo",698,369,341,821
"Szkoła Podstawowa im. UNICEF, Bielany Wrocławskie ul. Akacjowa 1, 55-040 Kobierzyce",1212,304,811,647
"Szkoła Podstawowa im. ppor. Klemensa Wickiego, Pępowo ul. Gdańska 117, 83-330 Żukowo",737,319,367,850
"Szkoła Podstawowa im. Św. Jana de La Salle, Gdańsk ul. Juliusza Słowackiego 101, 80-281 Gdańsk 44",737,235,66,413
"Szkoła Podstawowa nr 1 im. Fryderyka Chopina w Skórzewie, Skórzewo ul. Poznańska 70, 60-185 Poznań",1926,577,1535,1373
"Szkoła Podstawowa nr 1 im. Jana Pawła II, ul. Szkolna 5, 62-080 Tarnowo Podgórne",1330,384,1154,888
"Szkoła Podstawowa nr 1 im. Mikołaja Kopernika w Zalasewie, ul. Planetarna 7, 62-020 Zalasewo",1132,259,1083,748
"Szkoła Podstawowa nr 1 im. Pierwszego Marszałka Polski Józefa Piłsudskiego, ul. Idzikowskiego 2a, 05-070 Sulejówek",1158,791,881,552
"Szkoła Podstawowa nr 1 w Ożarowie Mazowieckim/ sala gimnastyczna, ul. Szkolna 3, 05-850 Ożarów Mazowiecki",589,284,135,678
"Szkoła Podstawowa nr 1 z Oddziałami Integracyjnymi im. Tadeusza Kościuszki w Świdnicy, ul. Galla Anonima 1, 58-100 Świdnica",1183,724,766,1166
"Szkoła Podstawowa nr 1, ul. Józefa Poniatowskiego 16, 62-030 Luboń",1296,468,1057,820
"Szkoła Podstawowa nr 1, wejście od ul. Janusza Kusocińskiego, ul. Warszawska 73, 05-092 Łomianki",762,294,161,582
"Szkoła Podstawowa nr 1, wejście od ul. Szkolnej, ul. Warszawska 73, 05-092 Łomianki",649,437,22,718
"Szkoła Podstawowa nr 10 im. Arkadego Fiedlera, ul. Piotra Ściegiennego 10, 60-128 Poznań",1161,289,922,636
"Szkoła Podstawowa nr 101 im. Jana Kochanowskiego, ul. Wspólna 5/7, 91-464 Łódź",1301,556,950,908
"Szkoła Podstawowa nr 109 im. Ludwiki Wawrzyńskiej, ul. Pryncypalna 74, 93-379 Łódź",1314,849,55,1297
"Szkoła Podstawowa nr 11, ul. Nasypowa 16, 40-551 Katowice",1037,321,749,691
"Szkoła Podstawowa nr 110 im. Partyzantów Ziemi Łódzkiej, ul. Zamknięta 3, 93-323 Łódź",909,485,373,797
"Szkoła Podstawowa nr 118, bulw. Ikara 19, 54-130 Wrocław",3345,1331,1418,2496
"Szkoła Podstawowa nr 118, ul. Myśliborska 25, 03-185 Warszawa",665,217,258,564
"Szkoła Podstawowa nr 12, ul. Górnośląska 45, 00-458 Warszawa",697,289,138,517
"Szkoła Podstawowa nr 12, ul. Kcyńska 49, 85-304 Bydgoszcz",1142,415,798,799
"Szkoła Podstawowa nr 12, ul. Rumuńska 6AB, 64-100 Leszno",1153,422,694,782
"Szkoła Podstawowa nr 12, ul. Stawna 6, 81-629 Gdynia",1949,719,1840,1218
"Szkoła Podstawowa nr 12, ul. Zygmunta Janiszewskiego 14, 50-372 Wrocław",962,528,949,1011
"Szkoła Podstawowa nr 122, ul. Jesionowa 38, 91-363 Łódź",1746,712,602,1195
"Szkoła Podstawowa nr 128, ul. Kadetów 15, 03-987 Warszawa",1280,524,988,1000
"Szkoła Podstawowa nr 13, ul. Halicka 8, 81-506 Gdynia",665,293,78,536
"Szkoła Podstawowa nr 132, ul. Grabowska 1, 01-236 Warszawa",818,524,368,853
"Szkoła Podstawowa nr 137 im. Aleksandra Kamińskiego, ul. Olimpijska 9, 94-043 Łódź",1244,556,896,920
"Szkoła Podstawowa nr 137 im. prof. Aleksandra Kamińskiego, ul. Florecistów 3B, 94-042 Łódź",943,396,434,684
"Szkoła Podstawowa nr 138 im. Leopolda Staffa, ul. Stanisława Dubois 7/9, 93-491 Łódź",665,314,12,587
"Szkoła Podstawowa nr 139 im. Wojska Polskiego, ul. Giewont 28, 92-116 Łódź",951,498,619,924
"Szkoła Podstawowa nr 139, ul. Syreny 5/7, 01-132 Warszawa",1055,513,889,990
"Szkoła Podstawowa nr 140, ul. Wilgi 19, 04-831 Warszawa",775,345,113,538
"Szkoła Podstawowa nr 141 im. gen. Mariusza Zaruskiego, ul. Zakładowa 35, 92-402 Łódź",1603,799,531,1433
"Szkoła Podstawowa nr 142 im. Zawiszy Czarnego, ul. Łupkowa 6, 91-527 Łódź",978,507,449,843
"Szkoła Podstawowa nr 149 im. Obrońców Westerplatte, ul. Tatrzańska 69A, 93-219 Łódź",750,428,198,689
"Szkoła Podstawowa nr 154, ul. Leśnej Polanki 63/65, 03-142 Warszawa",1513,494,654,1183
"Szkoła Podstawowa nr 16 budynek A, ul. Wilczy Dół 4, 02-798 Warszawa",1694,432,653,789
"Szkoła Podstawowa nr 16, ul. Chabrowa 43, 81-079 Gdynia",1119,501,720,869
"Szkoła Podstawowa nr 162 im. Jana Nowaka Jeziorańskiego, ul. Powszechna 15, 93-321 Łódź",1740,916,599,1551
"Szkoła Podstawowa nr 163, ul. Osiecka 28/32, 04-173 Warszawa",1103,497,1055,988
"Szkoła Podstawowa nr 164 im. Andrzeja Frycza Modrzewskiego, ul. Walerego Wróblewskiego 65, 94-035 Łódź",881,355,394,670
"Szkoła Podstawowa nr 166 im. Akademii Pana Kleksa w Łodzi, ul. Szamotulska 1/7, 91-037 Łódź",835,381,326,682
"Szkoła Podstawowa nr 17, ul. Grabowo 12, 81-265 Gdynia",614,216,92,427
"Szkoła Podstawowa nr 17, ul. Jana Dekerta 1, 40-143 Katowice",1107,511,929,993
"Szkoła Podstawowa nr 18 im. Zofii Nałkowskiej, os. Armii Krajowej 100, 61-381 Poznań",1216,505,971,875
"Szkoła Podstawowa nr 182 im. Tadeusza Zawadzkiego ""Zośki"", ul. Łanowa 16, 91-103 Łódź",975,478,581,896
"Szkoła Podstawowa nr 184 im. Honorowych Obywateli Miasta Łodzi, ul. Syrenki 19A, 91-496 Łódź",2024,961,1849,1457
"Szkoła Podstawowa nr 185, ul. gen. Tadeusza Bora-Komorowskiego 31, 03-982 Warszawa",1292,519,963,912
"Szkoła Podstawowa nr 190 im. Jarosława Iwaszkiewicza, ul. Jacka Malczewskiego 37/47, 93-154 Łódź",635,279,105,519
"Szkoła Podstawowa nr 199 im. Juliana Tuwima, ul. Józefa Elsnera 8, 92-504 Łódź",1744,741,563,1209
"Szkoła Podstawowa nr 2 im. Jana Pawła II, ul. Poziomkowa 11, 62-002 Suchy Las",928,212,299,418
"Szkoła Podstawowa nr 2 im. Królowej Jadwigi w Jarocinie, ul. Aleja Niepodległości 8, 63-200 Jarocin",647,412,91,836
"Szkoła Podstawowa nr 2 z Oddziałami Dwujęzycznymi im. Szarych Szeregów, os. Jagiellońskie 128, 61-223 Poznań",1066,463,857,809
"Szkoła Podstawowa nr 2, ul. Aleksandra Zawadzkiego 12, 84-240 Reda",1349,501,1331,1184
"Szkoła Podstawowa nr 2, ul. Partyzantów 31, 05-092 Łomianki",704,334,64,561
"Szkoła Podstawowa nr 2, ul. Targowa 17, 87-100 Toruń",616,201,9,410
"Szkoła Podstawowa nr 2, ul. Wolności 51, 42-500 Będzin",1565,688,1462,1287
"Szkoła Podstawowa nr 2, ul. Żabikowska 40, 62-030 Luboń",1795,524,935,1139
"Szkoła Podstawowa nr 2, wejście od Filii Biblioteki Publicznej, ul. Partyzantów 31, 05-092 Łomianki",839,408,250,650
"Szkoła Podstawowa nr 20, ul. Starodworcowa 36, 81-575 Gdynia",1619,432,514,905
"Szkoła Podstawowa nr 203, ul. ks. Ignacego Skorupki 8, 00-546 Warszawa",817,416,442,696
"Szkoła Podstawowa nr 205 im. Św. Jadwigi Królowej Polski, ul. Dąbrówki 1, 92-413 Łódź",1574,719,363,1232
"Szkoła Podstawowa nr 206 im. Łódzkich Włókniarek, ul. Łozowa 9, 91-496 Łódź",1801,741,677,1240
"Szkoła Podstawowa nr 21, ul. Jana z Kolna 5, 81-351 Gdynia",1388,465,1385,888
"Szkoła Podstawowa nr 210, ul. Karmelicka 13, 00-163 Warszawa",761,344,318,641
"Szkoła Podstawowa nr 220, al. Aleja Jana Pawła II 26A, 00-133 Warszawa",822,314,424,465
"Szkoła Podstawowa nr 222, ul. Esperanto 7A, 00-049 Warszawa",803,394,425,651
"Szkoła Podstawowa nr 225, ul. Jana Brożka 15, 01-451 Warszawa",1080,571,818,1068
"Szkoła Podstawowa nr 23, ul. Mikołaja Reja 1, 02-034 Warszawa",708,256,338,447
"Szkoła Podstawowa nr 23, ul. Przystankowa 32, 52-231 Wrocław",2236,605,1684,1268
"Szkoła Podstawowa nr 231, ul. Juranda ze Spychowa 10, 03-257 Warszawa",1177,404,948,855
"Szkoła Podstawowa nr 25 im. Kornela Makuszyńskiego, ul. Jurajska 7, 25-640 Kielce",1652,747,1614,1498
"Szkoła Podstawowa nr 25, ul. Grzybowska 35, 00-855 Warszawa",1223,556,193,959
"Szkoła Podstawowa nr 255, ul. Kamionkowska 36/44, 03-805 Warszawa",525,250,173,490
"Szkoła Podstawowa nr 257, ul. Podróżnicza 11, 03-111 Warszawa",583,234,51,468
"Szkoła Podstawowa nr 267, ul. Braci Załuskich 1, 01-773 Warszawa",805,386,418,644
"Szkoła Podstawowa nr 27 im. Stefana Czarnieckiego, os. Winiary 2, 60-665 Poznań",1134,407,1004,820
"Szkoła Podstawowa nr 27, ul. Turystyczna 19, 87-100 Toruń",754,229,71,462
"Szkoła Podstawowa nr 279, ul. Cyrklowa 1, 04-044 Warszawa",1314,547,1263,998
"Szkoła Podstawowa nr 28 im. Kornela Makuszyńskiego, ul. Chojnicka 57, 60-480 Poznań",629,224,6,396
"Szkoła Podstawowa nr 289, ul. Władysława Broniewskiego 99A, 01-876 Warszawa",1478,796,521,1376
"Szkoła Podstawowa nr 29, ul. Fabryczna 19, 00-446 Warszawa",922,382,614,668
"Szkoła Podstawowa nr 293, ul. Jana Kochanowskiego 8, 01-864 Warszawa",2118,1062,481,1784
"Szkoła Podstawowa nr 3 im. Mikołaja Kopernika, ul. Mokra 28/34, 95-200 Pabianice",1877,1358,943,2241
"Szkoła Podstawowa nr 3 im. mjr. Henryka Dobrzańskiego ""Hubala"", al. Harcerzy - Zatorowców 6, 91-144 Łódź",810,352,286,623
"Szkoła Podstawowa nr 3, ul. Brzozowa 30, 84-240 Reda",1399,576,285,1323
"Szkoła Podstawowa nr 3, ul. Legionów 210, 87-100 Toruń",1183,500,905,874
"Szkoła Podstawowa nr 3, ul. Stanisława Hadyny 18, 82-200 Malbork",652,303,1,528
"Szkoła Podstawowa nr 30 im. rtm. Witolda Pileckiego, ul. Rysownicza 1/3, 91-855 Łódź",668,388,29,655
"Szkoła Podstawowa nr 30, ul. Kawęczyńska 2, 03-772 Warszawa",994,709,739,1145
"Szkoła Podstawowa nr 300, ul. Gubinowska 28/30, 02-956 Warszawa",1396,365,935,605
"Szkoła Podstawowa nr 31, ul. Kobiałka 49, 03-044 Warszawa",607,212,40,478
"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 11, 03-982 Warszawa",1953,686,1893,1151
"Szkoła Podstawowa nr 312, ul. Władysława Umińskiego 12, 03-984 Warszawa",2099,831,1229,1463
"Szkoła Podstawowa nr 319, ul. Wokalna 1, 02-787 Warszawa",1136,379,867,692
"Szkoła Podstawowa nr 32, ul. Dow Bera Meiselsa 1, 00-190 Warszawa",766,394,465,691
"Szkoła Podstawowa nr 322, ul. Edwarda Dembowskiego 9, 02-784 Warszawa",1461,408,1202,797
"Szkoła Podstawowa nr 33 im. Stefana Kopcińskiego, ul. Michała Lermontowa 7, 92-512 Łódź",1459,714,1191,1147
"Szkoła Podstawowa nr 33 z Oddziałami Specjalnymi, ul. Stefana Starzyńskiego 41, 41-215 Sosnowiec",644,387,133,658
"Szkoła Podstawowa nr 33, ul. Cypriana Godebskiego 8, 81-134 Gdynia",2545,768,974,1735
"Szkoła Podstawowa nr 336, ul. Witolda Małcużyńskiego 4, 02-793 Warszawa",1441,485,1143,809
"Szkoła Podstawowa nr 34 im. Wisławy Szymborskiej, ul. Mieczysławy Ćwiklińskiej 9, 92-508 Łódź",1408,634,1037,1066
"Szkoła Podstawowa nr 34, ul. Leona Kruczkowskiego 12B, 00-380 Warszawa",730,313,298,482
"Szkoła Podstawowa nr 34, ul. Lucjana Cylkowskiego 5, 81-465 Gdynia",1457,456,294,842
"Szkoła Podstawowa nr 343, ul. Stefana Kopcińskiego 7, 02-777 Warszawa",895,575,892,1009
"Szkoła Podstawowa nr 35, ul. Nakielska 273, 85-391 Bydgoszcz",1375,727,1074,1239
"Szkoła Podstawowa nr 351, ul. Jana Olbrachta 48/56, 01-111 Warszawa",1624,745,851,1327
"Szkoła Podstawowa nr 352, ul. Josepha Conrada 6, 01-922 Warszawa",1594,789,1478,1281
"Szkoła Podstawowa nr 360, ul. Dzieci Warszawy 42, 02-495 Warszawa",1058,290,837,665
"Szkoła Podstawowa nr 363, ul. Rozłogi 10, 01-310 Warszawa",757,219,386,528
"Szkoła Podstawowa nr 367, ul. Przytulna 3, 03-083 Warszawa",763,192,68,311
"Szkoła Podstawowa nr 369, ul. Stanisława Przybyszewskiego 45, 01-849 Warszawa",920,384,423,659
"Szkoła Podstawowa nr 374, ul. Boremlowska 6/12, 04-309 Warszawa",579,241,40,469
"Szkoła Podstawowa nr 384, ul. Kajakowa 10, 02-838 Warszawa",1545,573,280,1011
"Szkoła Podstawowa nr 385, ul. Klimatyczna 1, 05-077 Warszawa",1250,487,872,973
"Szkoła Podstawowa nr 39, ul. adm. J. Unruga 88, 81-181 Gdynia",1377,730,1146,1251
"Szkoła Podstawowa nr 391, ul. Filarecka 2, 01-582 Warszawa",873,320,642,555
"Szkoła Podstawowa nr 392, al. Aleja Wojska Polskiego 1A, 01-524 Warszawa",631,340,113,571
"Szkoła Podstawowa nr 396, ul. Anny German 5A, 01-794 Warszawa",2906,465,1954,1100
"Szkoła Podstawowa nr 397, ul. Afrykańska 11, 03-966 Warszawa",1325,422,289,788
"Szkoła Podstawowa nr 4 im. Komisji Edukacji Narodowej, al. marsz. Józefa Piłsudskiego 101, 92-329 Łódź",673,224,189,536
"Szkoła Podstawowa nr 4 im. Marii Skłodowskiej-Curie w Aleksandrowie Łódzkim, al. Wyzwolenia 3, 95-070 Aleksandrów Łódzki",1314,809,1136,1545
"Szkoła Podstawowa nr 4, ul. Jana Kasprowicza 16, 83-000 Pruszcz Gdański",1290,474,1142,978
"Szkoła Podstawowa nr 4, ul. Łąkowa 36, 84-240 Reda",1319,599,208,1203
"Szkoła Podstawowa nr 400, ul. Oś Królewska 25, 02-972 Warszawa",1541,283,507,546
"Szkoła Podstawowa nr 403, ul. Kacpra Karlińskiego 6, 01-262 Warszawa",775,199,513,484
"Szkoła Podstawowa nr 405, ul. Na Uboczu 9, 02-791 Warszawa",1549,509,335,898
"Szkoła Podstawowa nr 408, ul. Arkuszowa 202, 01-934 Warszawa",828,395,301,696
"Szkoła Podstawowa nr 41 im. Króla Władysława Jagiełły, ul. Rajdowa 18, 94-003 Łódź",1285,461,844,838
"Szkoła Podstawowa nr 41, ul. Drewniana 8, 00-345 Warszawa",768,263,303,450
"Szkoła Podstawowa nr 42 im. Stanisława Staszica, ul. Przyszkole 42, 93-552 Łódź",646,308,34,557
"Szkoła Podstawowa nr 42, ul. Wałbrzyska 50, 52-314 Wrocław",2122,644,1669,1371
"Szkoła Podstawowa nr 44, ul. Wilanowska 31, 51-206 Wrocław",644,343,38,609
"Szkoła Podstawowa nr 48 im. Stanisława Moniuszki, ul. Rydzowa 15, 91-211 Łódź",1443,690,1136,1108
"Szkoła Podstawowa nr 48, ul. Stefanii Sempołowskiej 4, 00-574 Warszawa",618,261,140,461
"Szkoła Podstawowa nr 5, ul. Hugona Kołłątaja 1, 62-030 Luboń",1215,372,962,842
"Szkoła Podstawowa nr 5, ul. Rekowska 36, 84-240 Reda",668,324,115,752
"Szkoła Podstawowa nr 5, ul. Łowiecka 50c, 64-100 Leszno",647,194,56,460
"Szkoła Podstawowa nr 50, ul. Jagiellońska 7, 03-721 Warszawa",927,483,744,772
"Szkoła Podstawowa nr 50, ul. Stefana Starzyńskiego 10, 42-224 Częstochowa",1809,1082,1720,1773
"Szkoła Podstawowa nr 51 im. Bronisława Szwarca, os. Lecha 37, 61-294 Poznań",1352,531,227,914
"Szkoła Podstawowa nr 55 im. Eugeniusza Lokajskiego, ul. Antoniego Mackiewicza 9, 91-349 Łódź",812,321,191,572
"Szkoła Podstawowa nr 55 im. Jurija Gagarina, ul. Szpaków 1, 61-065 Poznań",1196,441,1012,830
"Szkoła Podstawowa nr 58 im. Jerzego Kukuczki, ul. Ławica 3, 60-186 Poznań",2337,639,556,1114
"Szkoła Podstawowa nr 59 im. gen. J. H. Dąbrowskiego, ul. Baranowska 1, 61-353 Poznań",681,296,20,538
"Szkoła Podstawowa nr 6 im. Hipolita Cegielskiego z Oddziałami Integracyjnymi, os. Rusa 56, 61-245 Poznań",2160,658,477,1303
"Szkoła Podstawowa nr 6, ul. Gorlicka 25, 51-314 Wrocław",1185,561,319,1175
"Szkoła Podstawowa nr 60 im. Wojciecha Bogusławskiego, ul. Boranta 2, 61-608 Poznań",1011,363,853,1023
"Szkoła Podstawowa nr 61 im. Komisji Edukacji Narodowej, ul. Szczepankowo 72a, 61-306 Poznań",2383,816,769,1516
"Szkoła Podstawowa nr 61, ul. Skarbowców 8a, 53-025 Wrocław",1462,422,455,786
"Szkoła Podstawowa nr 64 im. Marii Konopnickiej, os. Orła Białego 120, 61-251 Poznań",3279,1115,2954,2020
"Szkoła Podstawowa nr 64, ul. Wojszycka 1, 53-006 Wrocław",1471,353,313,760
"Szkoła Podstawowa nr 65 im. Juliusza Słowackiego, ul. Pojezierska 10, 91-322 Łódź",1305,507,960,951
"Szkoła Podstawowa nr 65, ul. Mścisławska 1, 01-647 Warszawa",1728,545,570,888
"Szkoła Podstawowa nr 66 im. Marii Skłodowskiej-Curie, os. Przyjaźni 127, 61-689 Poznań",920,323,619,606
"Szkoła Podstawowa nr 66, ul. gen. Augusta Emila Fieldorfa ""Nila"" 3, 85-796 Bydgoszcz",1559,535,1385,1072
"Szkoła Podstawowa nr 67 z Oddziałami Dwujęzycznymi i Sportowymi im. Jacka Kuronia, os. Stefana Batorego 101, 60-687 Poznań",2752,700,1825,1460
"Szkoła Podstawowa nr 68, ul. Or-Ota 5, 01-507 Warszawa",829,377,362,594
"Szkoła Podstawowa nr 7 im. Adama Mickiewicza w Pile, ul. aleja Wojska Polskiego 45, 64-920 Piła",657,335,23,632
"Szkoła Podstawowa nr 71 im. Henryka Sienkiewicza, ul. Rojna 58C, 91-134 Łódź",1327,566,963,938
"Szkoła Podstawowa nr 72 z Oddziałami Dwujęzycznymi i Sportowymi im. Mikołaja Kopernika, ul. Izaaka Newtona 2, 60-161 Poznań",654,220,56,399
"Szkoła Podstawowa nr 72, ul. Ludwika Michała Paca 44, 04-386 Warszawa",1403,724,1030,1443
"Szkoła Podstawowa nr 74 im. Mikołaja Kopernika, ul. Trybunalska 17/25, 60-325 Poznań",933,129,89,477
"Szkoła Podstawowa nr 77, ul. Samogłoska 9, 01-980 Warszawa",1388,457,1239,908
"Szkoła Podstawowa nr 78 im. prof. Wiktora Degi, ul. Żonkilowa 34, 60-175 Poznań",683,229,45,429
"Szkoła Podstawowa nr 78, ul. Jedności Narodowej 195, 50-303 Wrocław",1575,648,1127,1272
"Szkoła Podstawowa nr 79 im. Łódzkich Olimpijczyków, ul. Pomorska 138, 91-404 Łódź",583,295,212,562
"Szkoła Podstawowa nr 8, ul. Kąpielowa 7, 65-383 Zielona Góra",1732,470,1504,869
"Szkoła Podstawowa nr 8, ul. Orłowska 27 - 33, 81-522 Gdynia",837,203,178,375
"Szkoła Podstawowa nr 80, ul. Aspekt 48, 01-904 Warszawa",895,521,318,828
"Szkoła Podstawowa nr 80, ul. Polna 4, 52-120 Wrocław",1172,660,1137,1326
"Szkoła Podstawowa nr 81 im. Bohaterskich Dzieci Łodzi, ul. Emilii Plater 28/32, 91-762 Łódź",1421,582,1347,1137
"Szkoła Podstawowa nr 81, ul. Puszczyka 6, 02-785 Warszawa",1202,485,847,799
"Szkoła Podstawowa nr 82, ul. Blacharska 13, 53-206 Wrocław",1835,439,918,813
"Szkoła Podstawowa nr 83 im. Stanisława Jachowicza, ul. Podmiejska 21, 93-165 Łódź",1160,544,844,976
"Szkoła Podstawowa nr 83, al. Tadeusza Boya-Żeleńskiego 32, 51-160 Wrocław",672,260,239,516
"Szkoła Podstawowa nr 84 im. Generała Józefa Bema, ul. Wici 16, 91-213 Łódź",1347,648,1146,1082
"Szkoła Podstawowa nr 89 im. Krzysztofa Kamila Baczyńskiego, ul. Sochaczewska 3, 60-645 Poznań",1107,448,1100,814
"Szkoła Podstawowa nr 9 im. Adolfa Dygasińskiego, ul. Adolfa Dygasińskiego 6, 25-120 Kielce",644,338,4,632
"Szkoła Podstawowa nr 9, ul. Fikusowa 8, 62-510 Konin",1213,715,722,1154
"Szkoła Podstawowa nr 9, ul. Panewnicka 172, 40-772 Katowice",792,251,153,409
"Szkoła Podstawowa nr 9, ul. Stanisława Szczepanowskiego 14, 64-100 Leszno",709,269,134,614
"Szkoła Podstawowa nr 90 im. hr. Władysława Zamoyskiego, ul. Józefa Chociszewskiego 56, 60-261 Poznań",820,220,371,430
"Szkoła Podstawowa nr 91 im. Leonida Teligi, ul. Marcina Kasprzaka 45, 91-078 Łódź",1107,559,831,1051
"Szkoła Podstawowa nr 95, ul. Starogajowa 66 - 68, 54-047 Wrocław",2414,1069,1867,2089
"Szkoła Podstawowa nr 96, ul. Sarabandy 16/22, 02-868 Warszawa",936,348,401,617
"Szkoła Podstawowa nr 98, ul. Sycowska 22a, 51-319 Wrocław",878,618,595,1140
"Szkoła Podstawowa w Jarosławcu, ul. Bałtycka 65B, 76-107 Jarosławiec",629,369,117,897
"Szkoła Podstawowa w Józefosławiu, Józefosław ul. Kameralna 11, 05-500 Piaseczno",3098,816,2363,1759
"Szkoła Podstawowa w Kamionkach, ul. Mieczewska 36, 62-023 Kamionki",1637,315,1620,792
"Szkoła Podstawowa w Kiełczowie, ul. Szkolna 3, 55-093 Kiełczów",1509,482,523,1141
"Szkoła Podstawowa w Libertowie, Libertów ul. Jana Pawła II 43, 30-444 Kraków 55",703,422,75,734
"Szkoła Podstawowa w Paprocicach, Paprocice 1, 26-006 Nowa Słupia",14,51,13,91
"Szkoła Podstawowa w Umiastowie, Umiastów ul. Umiastowska 74, 05-850 Ożarów Mazowiecki",563,353,10,726
"Szkoła Podstawowa w Wilczycach, ul. Wrocławska 15, 51-361 Wilczyce",845,323,394,642
"Szkoła Podstawowa w Wisłoku Wielkim, Wisłok Wielki 26A, 38-543 Komańcza",30,26,29,59
"Szkoła Podstawowa w Złotokłosie, ul. Traugutta 10, 05-504 Złotokłos",796,406,263,748
"Szkoła Podstawowa w Ładach, Dawidy Bankowe ul. Długa 49, 05-090 Raszyn",1040,504,843,1053
"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 114 im. Jędrzeja Cierniaka, ul. Remiszewska 40, 03-550 Warszawa",1917,1108,152,1893
"Szkoła Podstawowa z Oddziałami Integracyjnymi Nr 3, ul. Topolowa 22, 31-506 Kraków",485,220,1,441
"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 223, ul. Jana Kasprowicza 107, 01-823 Warszawa",761,422,357,694
"Szkoła Podstawowa z Oddziałami Integracyjnymi nr 61, ul. Białobrzeska 27, 02-340 Warszawa",1058,536,914,963
"Szkoła Podstawowa z Oddziałami Integracyjnymi, ul. Aleja Tysiąclecia 32, 72-330 Mrzeżyno",943,364,640,852
"Szkoła Podstawowa, Bojano ul. Józefa Wybickiego 38, 84-207 Koleczkowo",1076,485,807,1102
"Szkoła Podstawowa, Jadwisin ul. Szkolna 46, 05-140 Serock",631,376,11,773
"Szkoła Podstawowa, Józefosław ul. Kameralna 11, 05-500 Piaseczno",655,175,44,418
"Szkoła Podstawowa, Kalinówka 78, 21-040 Świdnik",641,481,139,71
"Szkoła Podstawowa, Koczargi Stare ul. Akacjowa 12, 05-080 Izabelin",700,420,69,789
"Szkoła Podstawowa, Siekierki Wielkie ul. Stanisława Karalusa 1, 62-025 Kostrzyn",683,286,212,697
"Szkoła Podstawowa, ul. Ignacego Krasickiego 56, 05-500 Nowa Iwiczna",1348,385,89,814
"Szkoła Podstawowa, ul. Kościelna 46/48, 62-081 Przeźmierowo",1909,683,1808,1224
"Szkoła Podstawowa, ul. Księdza Kanonika Henryka Słojewskiego 1, 05-552 Łazy",1221,626,1007,1259
"Szkoła Podstawowa, ul. Poznańska 78, 61-160 Czapury",840,295,559,781
"Szkoła Podstawowa, ul. Pułtuska 68, 05-140 Serock",702,524,154,963
"Szkoła Podstawowa, ul. Słowackiego 4, 84-104 Jastrzębia Góra",541,218,137,605
"Szkoła Podstawowa, ul. Wierzbowa 2, 86-065 Łochowo",652,258,27,498
"Szkoła nr 1 im. Jana Pawła II w Aleksandrowie Łódzkim, ul. Ludwika Waryńskiego 22/26, 95-070 Aleksandrów Łódzki",687,451,51,747
"Szkoły Ekonomiczno-Handlowe, Gdańsk ul. Mariana Seredyńskiego 1A, 80-753 Gdańsk 50",928,340,619,688
"Szkoły Katolickiego Stowarzyszenia Wychowawców im. bł. Natalii Tułasiewicz, ul. Mińska 32, 61-049 Poznań",606,239,6,467
"Szpital Chorób Płuc w Siewierzu Sp. z o. o., ul. Zbigniewa Oleśnickiego 21, 42-470 Siewierz",12,9,5,7
"Szpital Kliniczny im. Księżnej Anny Mazowieckiej, ul. Karowa 2, 00-315 Warszawa",20,12,19,17
"Szpital Medicover, al. Aleja Rzeczypospolitej 5, 02-972 Warszawa",28,19,20,14
"Szpital Miejski nr 4 w Gliwicach Sp. z o.o., ul. Radiowa 2, 44-121 Gliwice",20,14,15,15
"Szpital Nr 2 Samodzielny Publiczny Zakład Opieki Zdrowotnej Zespół Opieki Zdrowotnej, ul. Lompy 2, 48-340 Głuchołazy",47,37,42,51
"Szpital Ogólny w Wysokiem Mazowieckiem, ul. Szpitalna 5, 18-200 Wysokie Mazowieckie",3,8,2,8
"Szpital Powiatowy SP ZOZ, ul. Marszałka Józefa Piłsudskiego 26/28/30, 23-100 Bychawa",7,14,6,18
"Szpital Powiatowy w Chmielniku, ul. Kielecka 1-3, 26-020 Chmielnik",5,6,2,14
"Szpital Powiatowy w Gryfinie Sp. z o.o., ul. Parkowa 5, 74-100 Gryfino",7,3,6,7
"Szpital Powiatowy w Strzyżowie, ul. 700-Lecia Strzyżowa 1, 38-100 Strzyżów",9,19,4,23
"Szpital Powiatowy w Sędziszowie Małopolskim, Oddział Chorób Wewnętrznych, ul. Wyspiańskiego 14, 39-120 Sędziszów Małopolski",8,10,5,25
