id_first,address,Nawrocki_first,Trzaskowski_first,id_second,Nawrocki_second,Trzaskowski_second
1406323,"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław",185,428,1469433,373,20
1406324,"Zespół Szkół nr 9, ul. Rafała Krajewskiego 1, 51-690 Wrocław",204,518,1469433,373,20
1406325,"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław",292,773,1469434,311,747
1406325,"Zespół Szkolno-Przedszkolny nr 22, ul. Edwarda Dembowskiego 39, 51-670 Wrocław",292,773,1469437,585,395
1406326,"Dom Studencki Arka, ul. Karola Olszewskiego 25, 51-642 Wrocław",279,625,1469438,492,19
1406328,"Zespół Szkolno-Przedszkolny nr 24, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław",321,737,1469440,540,178
1406329,"Zespół Szkolno-Przedszkolny nr 24, ul. Stefanii Sempołowskiej 54, 51-661 Wrocław",191,476,1469440,540,178
1406350,"Liceum Ogólnokształcące nr V, ul. Jacka Kuronia 14, 50-550 Wrocław",282,828,1469462,544,412
1406352,"Ośrodek Postaw Twórczych Zamek, ul. Działkowa 15, 50-538 Wrocław",238,730,1469464,487,205
1406353,"Zespół Szkolno-Przedszkolny nr 21, ul. Kłodzka 40, 50-536 Wrocław",176,483,1469469,421,30
1406354,"Zespół Szkół nr 2, ul. Borowska 105, 50-551 Wrocław",253,689,1469466,501,218
1406357,"Zespół Szkolno-Przedszkolny nr 21, ul. Kłodzka 40, 50-536 Wrocław",189,593,1469469,421,30
1406368,"Zespół Szkół nr 2, ul. Borowska 105, 50-551 Wrocław",255,443,1469466,501,218
1406370,"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław",168,510,1469482,403,213
1406370,"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław",168,510,1469643,567,408
1406371,"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław",190,444,1469482,403,213
1406371,"Szkoła Podstawowa nr 9, ul. Nyska 66, 50-505 Wrocław",190,444,1469643,567,408
1406372,"PGNiG Obrót Detaliczny sp. z o. o. Region Dolnośląski-budynek G, ul. Gazowa 3, 50-513 Wrocław",279,814,1469484,679,771
1406373,"Szkoła Podstawowa Nr 96, ul. Krakowska 2, 50-425 Wrocław",197,475,1469485,420,9
1406374,"Szkoła Podstawowa Nr 96, ul. Krakowska 2, 50-425 Wrocław",172,329,1469485,420,9
